ID ROW	No.Cluster
2	0
3	4
12	0
16	4
26	6
29	6
32	6
34	19
38	19
39	4
49	6
56	6
62	19
65	4
66	6
69	19
75	4
76	19
92	19
94	6
112	0
126	6
134	15
143	15
145	6
156	4
157	19
158	6
159	6
164	15
170	8
172	4
191	4
193	8
207	15
209	8
212	6
215	6
225	0
226	6
228	15
240	6
240	6
243	8
245	15
249	6
252	6
253	6
258	6
259	15
262	6
264	15
272	4
275	6
278	6
285	6
286	8
290	8
291	8
297	6
303	15
304	6
309	15
320	6
327	15
339	7
342	15
349	6
352	7
354	15
363	15
367	6
368	6
369	6
370	6
371	6
372	6
373	19
377	6
378	8
397	6
398	19
401	15
402	8
403	15
410	15
411	13
420	8
426	6
434	4
437	15
438	11
465	15
466	15
470	8
472	7
475	8
476	8
477	15
481	7
483	8
484	8
487	7
491	8
524	0
526	6
529	7
532	15
533	15
534	6
545	15
553	4
559	7
562	19
570	15
578	15
579	7
581	19
584	15
591	15
593	8
596	7
603	7
606	7
619	15
621	7
630	11
632	7
635	7
639	15
640	4
643	15
644	19
647	15
648	15
650	11
659	4
664	15
676	8
689	15
691	15
696	11
697	15
700	7
709	11
721	7
736	7
738	15
742	15
746	19
747	8
755	11
764	19
765	15
766	15
769	13
770	7
790	7
796	15
797	13
809	13
814	7
815	7
818	7
819	11
834	11
842	13
844	8
846	15
849	11
850	7
855	7
874	8
877	15
878	7
882	15
886	11
887	19
891	13
897	19
899	7
903	4
904	7
913	19
925	11
934	7
936	11
937	15
938	15
944	13
946	7
952	15
960	15
963	11
965	7
975	19
976	15
978	8
979	7
981	15
988	15
992	13
1009	15
1011	11
1015	7
1021	8
1033	7
1034	13
1037	11
1038	15
1043	13
1046	11
1048	15
1049	7
1050	19
1052	15
1055	11
1057	8
1098	15
1100	7
1109	13
1115	13
1121	15
1123	7
1130	7
1132	15
1133	13
1137	15
1139	13
1141	15
1145	15
1147	7
1149	7
1155	7
1156	7
1159	7
1161	8
1162	7
1168	13
1179	15
1180	7
1182	7
1184	13
1190	7
1192	7
1194	8
1199	7
1204	7
1205	7
1214	7
1220	13
1221	7
1222	13
1225	7
1226	13
1231	7
1232	8
1234	15
1237	11
1243	15
1316	13
1320	13
1321	11
1322	13
1323	15
1332	11
1333	15
1343	15
1344	15
1359	15
1361	8
1362	13
1366	8
1368	7
1371	11
1372	11
1397	11
1404	11
1413	13
1427	8
1429	7
1432	15
1435	15
1436	7
1437	7
1441	11
1455	8
1457	13
1459	7
1461	7
1464	11
1465	8
1467	15
1469	19
1471	4
1475	11
1477	7
1478	15
1479	13
1487	0
1490	15
1493	15
1496	15
1498	13
1499	13
1504	13
1506	13
1508	13
1514	7
1518	7
1520	15
1522	13
1523	4
1527	15
1530	7
1538	0
1541	7
1547	13
1555	15
1558	15
1562	13
1566	11
1573	13
1575	11
1576	7
1584	7
1585	15
1587	15
1591	11
1592	13
1595	7
1597	7
1599	7
1601	13
1604	8
1605	15
1606	15
1611	8
1612	13
1616	15
1619	11
1621	15
1623	11
1625	15
1631	0
1632	11
1635	13
1637	13
1643	11
1647	15
1653	11
1659	11
1664	7
1667	11
1669	13
1670	12
1673	8
1675	11
1676	15
1677	13
1678	4
1686	4
1689	11
1693	7
1696	13
1703	7
1705	15
1711	15
1717	11
1722	7
1741	11
1742	8
1747	15
1752	13
1756	11
1757	11
1758	7
1761	11
1763	11
1768	11
1770	15
1775	13
1776	13
1778	13
1780	7
1781	11
1790	13
1791	11
1792	13
1794	13
1795	11
1798	11
1803	15
1815	13
1818	4
1820	13
1822	13
1824	13
1826	15
1841	11
1843	7
1847	11
1847	8
1854	4
1856	11
1858	13
1859	13
1860	13
1860	11
1867	7
1872	13
1874	11
1876	8
1877	13
1879	11
1885	13
1887	13
1888	12
1889	7
1891	11
1892	13
1893	15
1897	15
1900	8
1902	13
1904	8
1908	11
1926	11
1927	8
1930	15
1934	15
1942	15
1947	13
1948	11
1954	15
1955	11
1956	11
1960	11
1962	11
1968	15
1973	13
1975	11
1976	7
1979	11
1981	11
1987	15
1993	13
1994	8
1997	11
2000	13
2001	13
2002	11
2029	7
2031	13
2037	11
2038	18
2040	15
2044	11
2053	11
2056	13
2062	15
2064	8
2066	11
2068	13
2069	11
2071	13
2075	0
2076	11
2077	13
2079	13
2084	13
2086	15
2088	7
2090	11
2093	11
2103	11
2106	13
2107	11
2108	11
2109	13
2111	13
2115	13
2119	11
2120	11
2123	11
2125	8
2126	13
2127	13
2128	11
2130	11
2131	13
2134	13
2135	11
2137	11
2140	11
2142	13
2144	13
2146	13
2147	11
2149	13
2150	11
2151	15
2152	15
2159	13
2160	13
2162	15
2164	13
2165	8
2172	13
2174	13
2175	13
2176	15
2178	13
2179	15
2182	15
2186	11
2188	11
2194	11
2201	8
2210	11
2215	15
2216	15
2217	11
2218	13
2219	15
2220	7
2224	15
2225	13
2227	13
2230	13
2233	11
2236	8
2239	8
2240	15
2242	11
2247	11
2253	13
2256	13
2257	13
2261	4
2265	13
2272	15
2275	8
2279	15
2288	15
2292	11
2293	13
2297	13
2301	8
2304	13
2310	7
2315	7
2316	13
2320	11
2322	11
2323	15
2327	8
2328	15
2329	13
2332	13
2337	15
2340	13
2344	13
2351	15
2354	15
2357	8
2361	15
2362	11
2364	11
2366	8
2367	11
2370	13
2372	11
2375	11
2376	15
2377	13
2379	11
2380	7
2384	11
2385	7
2387	7
2388	13
2393	15
2397	13
2402	13
2403	8
2404	13
2405	15
2409	13
2412	11
2419	13
2422	11
2425	13
2426	8
2431	11
2432	9
2435	13
2437	11
2439	7
2440	13
2446	13
2447	11
2449	11
2456	13
2457	11
2459	7
2463	11
2464	13
2470	11
2474	13
2475	15
2479	13
2480	13
2482	13
2483	13
2484	13
2487	7
2490	11
2491	11
2492	7
2500	13
2501	11
2503	13
2505	13
2506	13
2509	13
2510	15
2514	13
2521	11
2525	15
2527	13
2530	11
2532	13
2533	15
2539	8
2540	15
2543	13
2545	7
2546	15
2550	13
2551	11
2553	7
2555	11
2557	13
2560	13
2562	15
2563	13
2564	7
2567	13
2570	7
2572	13
2574	11
2575	13
2577	13
2579	13
2584	15
2590	13
2594	8
2595	13
2596	13
2597	13
2602	11
2605	9
2607	11
2611	8
2612	11
2613	8
2615	13
2617	11
2622	13
2625	15
2630	13
2634	13
2638	13
2640	13
2644	11
2654	4
2657	15
2659	13
2660	11
2663	13
2664	13
2665	13
2667	13
2669	13
2677	13
2682	11
2683	7
2684	7
2689	7
2694	11
2695	11
2696	7
2702	13
2704	13
2708	11
